Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Homestead,Solar,PV,No,Solar,, 	4.0 ,LV,England,South East,PO410TZ,,439433.0,88404.0,2015.0,SOL-000909,,50.69395307190239,-1.4430758479032022,_H
Anesco,Rainbow,Solar,PV,No,Solar,, 	4.8 ,LV,England,South West,TA64TG,,331238.0,141809.0,2015.0,SOL-000910,,51.17136960640531,-2.984929388199803,_L
Anesco,Hale,Solar,PV,No,Solar,, 	3.6 ,LV,England,South West,BH236BB,,409997.0,97268.0,2015.0,SOL-000911,,50.774908733784116,-1.8595861806982368,_H
Anesco,Woodtown,Solar,PV,No,Solar,, 	2.7 ,LV,England,South West,BH228SW,,409156.0,97807.0,2015.0,SOL-000912,,50.77976944398057,-1.8715001762345704,_H
Anesco,Salford Lodge Solar Farm,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,WR118SN,SP0478950939,404789.0,250939.0,2015.0,SOL-000924,,52.15670861722155,-1.9314145449452769,_E
Anesco,Bourne Park 2,Solar,PV,No,Solar,, 	2.4 ,LV,England,South West,DT27TU,,372234.0,97408.0,2015.0,SOL-000925,,50.775581660021324,-2.395157178991596,_H
Anesco,Radford,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV311XJ,,435175.0,261988.0,2015.0,SOL-000933,,52.25494593879897,-1.4861233847765534,_B
Anesco,Eaton Hill ,Solar,PV,No,Solar,, 	0.5 ,LV,England,West Midlands,HR60DG,SO5055459596,350554.0,259596.0,2015.0,SOL-000938,,52.232327664643556,-2.7254131762567853,_E
Anesco,Coleford Pingry Solar Farm,Solar,PV,No,Solar,, 	3.4 ,LV,England,South West,GL168QD,,357121.0,209434.0,2016.0,SOL-000987,,51.781915955800265,-2.622969061025861,_E
Anesco,Milkwall Solar Farm,Solar,PV,No,Solar,, 	3.5 ,LV,England,South West,GL168QD,,357646.0,209411.0,2016.0,SOL-000989,,51.78174926644318,-2.6153564123209234,_E
Anesco,Sheepbridge,Solar,PV,No,Solar,, 	5.0 ,LV,England,South East,RG71PX,SU7207665355,472076.0,165355.0,2016.0,SOL-000990,,51.382676626060814,-0.9656944370588392,_H
Anesco,Lindridge,Solar,PV,No,Solar,, 	4.9 ,LV,England,East Midlands,LE99FD,SK4668005219,446680.0,305219.0,2016.0,SOL-000991,,52.64271164233931,-1.3115618174088874,_B
Anesco,Lee Moor,Solar,PV,No,Solar,, 	5.0 ,LV,England,South West,PL75JP,,256033.0,60850.0,2015.0,SOL-000992,,50.429806516248284,-4.028333184711427,_L
Anesco,Oakham,Solar,PV,No,Solar,, 	4.6 ,LV,England,South West,BS324BS,,359684.0,183393.0,2016.0,SOL-000994,,51.54797913332672,-2.5828052351875006,_L
Anesco,The Beeches,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV379RG,,414445.0,254098.0,2016.0,SOL-000995,,52.18494301653466,-1.7901381755979306,_E
Anesco,East Appleton,Solar,PV,No,Solar,, 	5.0 ,LV,England,Yorkshire and the Humber,DL107QE,,423660.0,495768.0,2016.0,SOL-000996,,54.356897951911705,-1.6374451915035348,_F
Anesco,Fell View,Solar,PV,No,Solar,, 	4.3 ,LV,England,North West,PR25SD,,358322.0,433776.0,2016.0,SOL-000998,,53.79860814112384,-2.6342405264450885,_G
Anesco,Grimsargh,Solar,PV,No,Solar,, 	2.9 ,LV,England,North West,PR25SD,,358322.0,433776.0,2016.0,SOL-001000,,53.79860814112384,-2.6342405264450885,_G
Anesco,Sheep Shed,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV379RG,,415469.0,255805.0,2016.0,SOL-001003,,52.200261952490095,-1.7750834599002336,_E
